"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1070385345966461168","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD018brown200D","颜色分类：小茶棕;度数：200","null","null","买家已付款，等待卖家发货","YJ-JD018brown200D"
="1070402465182461168","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD016brown200D","颜色分类：漫木褐;度数：200","null","null","买家已付款，等待卖家发货","YJ-JD016brown200D"
="605529837814718800","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC004grey250D","颜色分类：轻语灰-春夏新款（百搭神器 接近满分的一款 ）;度数：250","null","null","买家已付款，等待卖家发货","YJ-HC004grey250D"
="596819653917305794","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD021black125D","颜色分类：小半黑;度数：125","null","null","买家已付款，等待卖家发货","YJ-JD021black125D"
="1070278433007037367","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD022grey0D","颜色分类：Peggy-虹膜灰;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD022grey0D"
="1070159969032571453","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069706656095608834","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069660320658661015","路迪 地红霉素肠溶胶囊 0.25g*6粒/盒yp","15.60","2","1015553","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015553"
="1070123874977475374","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC014grey350D","颜色分类：清言灰（自然与纯净完美结合 提亮肤色效果一级棒）;度数：350","null","null","买家已付款，等待卖家发货","YJ-HC014grey350D"
="1069905026856418664","【狂欢价】美瞳半年抛小直径自然年抛女正品大牌bollycon同款彩色隐形眼镜2","169.00","1","YJ-JD030pink400D","颜色分类：潘神-丘比色（温柔中带一点属于小女生的甜美感）;度数：400","null","null","买家已付款，等待卖家发货","YJ-JD030pink400D"
="1070041473085882123","明泰 血府逐瘀软胶囊 0.5g*24粒/盒 冠心病 失眠多梦心悸怔忡急躁善怒yp","48.00","2","1088486","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1088486"
="1069489696862063629","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray550D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：550","null","null","买家已付款，等待卖家发货","YJ-HC001Gray550D"
="1069935617123857093","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="1069935617123857093","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069827137569074823","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1070023587268191422","普利洛 普利洛 美洛昔康片 7.5mg*20片/盒 适用于类风湿性关节炎 疼痛性骨关节炎yp","5.80","2","1037036","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037036"
="1069971651679049441","博科 康乐鼻炎片 0.36g*12片*3板/盒急性鼻炎慢性鼻炎过敏性鼻炎鼻窦炎yp","9.40","5","1037392","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037392"
="605581260613952306","亚 头孢克肟分散片 50mg*12片/盒yp","6.00","3","1015488","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015488"
="1069141600435067253","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069662082446935542","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="596644260811425196","【狂欢价】唯美情趣睡内衣天使之翼诱惑睡裙性感骚网纱夜店激情公主裙显瘦BQ","96.00","1","HTFM780201","尺码：均码;颜色分类：白【裸背交叉睡裙-T裤】","null","null","买家已付款，等待卖家发货","HTFM780201"
="596771845159251695","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC014grey375D","颜色分类：清言灰（自然与纯净完美结合 提亮肤色效果一级棒）;度数：375","null","null","买家已付款，等待卖家发货","YJ-HC014grey375D"
="596771845159251695","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray250D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：250","null","null","买家已付款，等待卖家发货","YJ-HC001Gray250D"
="1069660131927420275","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","4","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068832160885220792","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","3","YJ-HC001Brown525D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：525","null","null","买家已付款，等待卖家发货","YJ-HC001Brown525D"
="1069334369712551144","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD022brown300D","颜色分类：Peggy-虹膜棕;度数：300","null","null","买家已付款，等待卖家发货","YJ-JD022brown300D"
="1069453923897572049","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Brown150D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：150","null","null","买家已付款，等待卖家发货","YJ-HC001Brown150D"
="1069031105449702091","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069012769395908043","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069006082632376777","博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","6","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068322656367255414","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1069000131422702863","千金妇洁阴洗液250ml阴道炎清热解毒燥湿杀虫阴道炎湿热证yp","16.60","1","1023376","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1023376"
="1068689729295640064","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068629057782823791","奥吉娜 阿司匹林肠溶片 100mg*36片/盒不稳定型心绞痛急性心肌梗塞预防心肌梗塞复发yp","5.60","3","1037047","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037047"
="605656142707795803","【狂欢价】爱芙丽隐形近视眼镜散光矫正定做半年抛1片装男女士定制片包邮","358.00","2","YJ-AFL003","度数：平光","null","null","买家已付款，等待卖家发货","YJ-AFL003"
="1067964608592804761","明泰 血府逐瘀软胶囊 0.5g*24粒/盒 冠心病 失眠多梦心悸怔忡急躁善怒yp","48.00","1","1088486","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1088486"
="1067777952280543381","泰稳 替米沙坦片 40mg*14片/盒用于原发性高血压的治疗yp","10.60","3","1007793","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1007793"
="1067750656829940771","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Blue500D","颜色分类：萤之光蓝（猫猫眼效果）;度数：500","null","null","买家已付款，等待卖家发货","YJ-HC001Blue500D"
="1067750656829940771","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray500D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：500","null","null","买家已付款，等待卖家发货","YJ-HC001Gray500D"
="1068476227192348425","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Blue300D","颜色分类：萤之光蓝（猫猫眼效果）;度数：300","null","null","买家已付款，等待卖家发货","YJ-HC001Blue300D"
="1068114657855993226","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="605476076005311106","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068024161961040312","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068040385512937578","【狂欢价】美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD026brown200D","颜色分类：咖啡棕14.2年抛【自然甜美】收藏加购买1副送1副;度数：200","null","null","买家已付款，等待卖家发货","YJ-JD026brown200D"
="1068207939284937578","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Brown200D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：200","null","null","买家已付款，等待卖家发货","YJ-HC001Brown200D"
="605460812269223505","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068110051149228588","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1068102595084660380","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1067238528883283284","【狂欢价】2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD016grey300D","颜色分类：雾珀灰14.0【网红爆款】;度数：300","null","null","买家已付款，等待卖家发货","YJ-JD016grey300D"
="1067238528883283284","【狂欢价】2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD029brown300D","颜色分类：鹿光棕【acelens同款招牌花色】;度数：300","null","null","买家已付款，等待卖家发货","YJ-JD029brown300D"
="1067787490899777336","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1067882787945033665","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","4","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1067811363320468840","诺灵盾 诺灵盾 盐酸洛美沙星胶囊 0.1g*12粒/盒呼吸道感染泌尿生殖系统感染胃肠道细菌感染腹腔胆道伤寒骨和关节感","3.40","2","1009065","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1009065"
="1067539777313850270","博士伦隐形影形近视眼镜护理液润明美瞳清洗液120ml小瓶装正品","110.00","1","YJ-BSL034","颜色分类：120ml","null","null","买家已付款，等待卖家发货","YJ-BSL034"
="1067539777313850270","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","4","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1067423521656897633","【狂欢价】2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD017gray425D","颜色分类：香蜜灰【人气爆款】;度数：425","null","null","买家已付款，等待卖家发货","YJ-JD017gray425D"
="1067306401356040389","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC014brown500D","颜色分类：绯丽棕（没有文案买的就对了系列  你品 你细品）;度数：500","null","null","买家已付款，等待卖家发货","YJ-HC014brown500D"
="1067330498505989262","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001COCO350D","颜色分类：萤之光淡可可棕（ 浅棕色，自然改变瞳色 清澈透明质感）;度数：350","null","null","买家已付款，等待卖家发货","YJ-HC001COCO350D"
="1067443171178422563","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","6","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1067258914023589333","希尔安 骨筋丸胶囊 0.3g*36粒/盒 活血化瘀 舒筋通络 祛风止痛 肥大性脊椎炎 劲椎病 跟骨刺 增生性关节炎 ","17.50","1","1037353","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037353"
="1067074274593301341","巨泰 巨泰 阿莫西林克拉维酸钾胶囊(4:1) 156.25mg*18粒/盒敏感菌引起的各种感染yp","14.30","2","1015462","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1015462"
="605552462845202104","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","2","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1066836610162394847","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Gray0D","颜色分类：萤之光灰（通勤素颜款提亮双眼更加无辜 ）;度数：0","null","null","买家已付款，等待卖家发货","YJ-HC001Gray0D"
="605548687640385604","博士伦美瞳隐形近视眼镜护理液博乐纯清洗液60ml*2便携旅行体验装","118.00","1","YJ-ZH029","颜色分类：博乐纯60ml单瓶+清透120ml（赠）","null","null","买家已付款，等待卖家发货","YJ-ZH029"
="605548687640385604","顺丰】博士伦清朗散光定制隐形型近视眼镜月抛3片装超薄透明眼境","435.00","1","YJ-BSL030","度数：平光","null","null","买家已付款，等待卖家发货","YJ-BSL030"
="1066461282405096227","KPC 血塞通滴丸 120丸*1瓶/盒中风偏瘫 胸痹心痛 冠心病 心绞痛yp","11.60","4","1008158","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1008158"
