"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="594304582169261998","特价】金口馨复方氯己定含漱液200ml 牙周炎出血口腔溃疡漱口水","18.00","1","1010840*2","套餐类型：【家中常备】两瓶","null","null","买家已确认，等待卖家发货","1010840*2"
="1024805186318939970","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024239360092779887","一正消炎镇痛膏10贴关节痛膏药贴风湿贴祛风除湿消炎镇疼膏肩周炎","18.00","1","1024699","null","null","null","买家已付款，等待卖家发货","1024699"
="1024775457272129575","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","2","1006783","null","null","null","买家已付款，等待卖家发货","1006783"
="1024913059896836031","中大 诚丰 一清颗粒 6袋 清热泻火解毒 牙龈肿痛 咽炎 扁桃体炎","5.90","10","1066721","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1066721"
="594280391378368697","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024199936995436375","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","2","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="1024904099245408330","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024902435523889753","上海龙虎清凉油3g醒脑提神 蚊虫叮咬 止痒止痛 中暑防暑晕车晕船","3.36","153","1011447","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1011447"
="1024194048447942383","三九999感冒灵胶囊12粒头痛发热鼻塞流涕咽痛","39.00","1","1009132*3","套餐类型：套餐一：本品3盒","null","null","买家已确认，等待卖家发货","1009132*3"
="1024189696816945668","药房直发】华森都梁软胶囊0.54g*54粒头痛刺痛祛风散寒活血通络","147.00","1","1106515*3","套餐类型：【疗程装】3盒","null","null","买家已确认，等待卖家发货","1106515*3"
="603076174576948505","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","等待买家付款","1005035*5"
="594299046653680294","会康 复方北豆根氨酚那敏片27片流行性感冒发热头痛鼻塞流涕咽痛","21.60","2","1015677","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1015677"
="1024738370387572451","药房直发】华森都梁软胶囊0.54g*54粒头痛刺痛祛风散寒活血通络","147.00","1","1106515*3","套餐类型：【疗程装】3盒","null","null","买家已确认，等待卖家发货","1106515*3"
="1024710977707774765","荣昌 肛泰栓 6粒 肛泰 凉血止血 清热解毒 燥湿敛疮 消肿止痛","27.00","1","1001764*2","套餐类型：套餐一：本品2盒","null","null","买家已确认，等待卖家发货","1001764*2"
="1024866179229230515","999小儿感冒颗粒6g*24袋/盒风热感冒发热头痛咽痛 咳痰","16.00","3","1008106","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1008106"
="1024698529073190569","现货】天劲 强骨生血口服液10支滋补肝肾气血不足缺铁性贫血","650.00","1","1016825*12","套餐类型：限时特价【10盒装 实发12盒】","null","null","买家已确认，等待卖家发货","1016825*12"
="1024716194457469477","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024152480052194056","包邮】神奇速宁达珊瑚癣净250ml*2瓶杀菌止痒手脚指甲癣脚气","39.80","1","1006753","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1006753"
="1024838659423172956","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","2","1006783","null","null","null","买家已付款，等待卖家发货","1006783"
="602923276323039904","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024649154670045588","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024789059841959166","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","3","1006783","null","null","null","买家已付款，等待卖家发货","1006783"
="1024639746451841322","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","买家已确认，等待卖家发货","1037871*60"
="1024619490709016166","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="602918828699872406","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024753411163204175","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","8","1006783","null","null","null","买家已付款，等待卖家发货","1006783"
="1024589985752765913","40贴25元】天和追风膏7cm*10cm*4贴通络袪风除湿活血止痛","25.00","1","1006710*10","套餐类型：【40贴25元】：本品10包","null","null","买家已确认，等待卖家发货","1006710*10"
="1024585089046692230","999强力枇杷露225ml三九祛痰 支气管炎 止咳糖浆止咳水咳嗽药品","15.00","10","1009564","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1009564"
="1024036448130954411","双鲸维生素AD滴剂(胶囊型)(1岁以上)(A 2000IU+D3 700IU)12粒*5板","117.00","1","1064084*3","套餐类型：套餐一：3盒","null","null","买家已确认，等待卖家发货","1064084*3"
="1024031648380128058","维生素E 软胶囊30粒维EVe 孕妇孕前备孕保护血管抗衰护肤ve","10.00","10","1011922","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1011922"
="1024588610296149806","买3送1】先声再康玫瑰精油尿素抑菌霜 125g","20.00","3","1095503","null","null","null","买家已付款，等待卖家发货","1095503"
="1024728995815095834","999强力枇杷露225ml三九祛痰 支气管炎 止咳糖浆止咳水咳嗽药品","15.00","20","1009564","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1009564"
="594108420737974699","20片30元】途爽晕车贴旅行常备晕车药防晕船晕机成人儿童贴耳后","30.00","1","1111602*10","颜色分类：晕车贴20片10盒","null","null","买家已付款，等待卖家发货","1111602*10"
="1024692003715215480","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","1","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="1023988096300194127","沙利舒 复方沙棘籽油栓 2.7g*6粒/盒","29.80","3","1006785","null","null","null","买家已付款，等待卖家发货","1006785"
="1024679363696593124","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="602913452456999403","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","买家已付款，等待卖家发货","1005035*5"
="1023971424538593124","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","2","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024522754557471683","晨 甘草甜素片 75mg*30片*1瓶/盒","9.90","1","1010488","套餐类型：标准装","null","null","交易关闭","1010488"
="1024517890401419045","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024513954929598714","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","买家已付款，等待卖家发货","1005035*5"
="1023934272160408764","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","4","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="594282598899974699","20片30元】途爽晕车贴旅行常备晕车药防晕船晕机成人儿童贴耳后","30.00","1","1111602*10","颜色分类：晕车贴20片10盒","null","null","交易关闭","1111602*10"
="1023923552143628191","优惠】PZH/片仔癀复方片仔癀软膏10g/盒带状疱疹脓胞疮毛囊炎痤疮","99.00","1","1006620*2","套餐类型：两盒装","null","null","买家已确认，等待卖家发货","1006620*2"
="1023914400940235166","通园 止咳平喘糖浆 100ml*1瓶/盒 清热宣肺止咳平喘风热感冒咳嗽","38.00","1","1022585","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1022585"
="1024617155594091741","特价】金口馨复方氯己定含漱液200ml 牙周炎出血口腔溃疡漱口水","18.00","1","1010840*2","套餐类型：【家中常备】两瓶","null","null","买家已确认，等待卖家发货","1010840*2"
="594230405161528299","20片30元】途爽晕车贴旅行常备晕车药防晕船晕机成人儿童贴耳后","30.00","1","1111602*10","颜色分类：晕车贴20片10盒","null","null","买家已付款，等待卖家发货","1111602*10"
="1024468642719977668","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","3","1006783","null","null","null","买家已付款，等待卖家发货","1006783"
="1024461186155492868","洁尔阴冲洗器 200ml（B）Ⅱ型伸缩式妇科阴道冲洗器","40.00","1","1050676*10","颜色分类：套餐二：10个","null","null","买家已付款，等待卖家发货","1050676*10"
="594261127455041797","可伊新复方芦荟胶囊30粒 润肠通便宁心安神便秘腹胀腹痛烦躁失眠","20.00","1","1007407","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1007407"
="1024591011489109111","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024422146700097746","安芙平克痤隐酮凝胶6g中药祛痘痤疮 药膏黑头粉刺青春痘","45.00","1","1038112","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1038112"
="1024421634495231925","沙利舒 复方沙棘籽油栓 2.7g*6粒/盒","29.80","1","1006785","null","null","null","买家已付款，等待卖家发货","1006785"
="1024566019233666710","包邮！同疗效米可定制霉菌素阴道泡腾片念珠菌性外阴阴道炎制霉素","59.00","1","1015367","套餐类型：米可定停产！发货为同疗效凯妮汀】【1盒装】","null","null","买家已确认，等待卖家发货","1015367"
="603055022720749404","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","2","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","买家已付款，等待卖家发货","1005035*5"
="1024400385136151057","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024553987263713131","同仁堂 石斛夜光丸27g清肝明目视力模糊阴虚火旺白内障H","14.00","3","1016309","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1016309"
="1024544515348071032","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","等待买家付款","1005035*5"
="1024387362024376258","葵花 四君子颗粒 10袋 益气健脾胃气虚弱食少便溏","22.00","4","1018935","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1018935"
="1024351329402956073","药房直发】医用一次性外科口罩三层防护熔喷布防病毒飞沫无菌医用","129.00","1","1116154*50","颜色分类：本品1盒50只","null","null","买家已付款，等待卖家发货","1116154*50"
="1024346369187144809","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024499907637921008","999三九皮炎平复方醋酸地塞米松乳膏20g","12.00","1","1011256","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1011256"
="1024338689214332675","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024490755989332675","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024493411417332675","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","买家已确认，等待卖家发货","1037871*20"
="1024476451943445718","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","买家已付款，等待卖家发货","1005035*5"
="1023731712607126610","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="1024292162011355533","特价】斯必申米诺地尔搽剂100ml男防掉发秃发脱发斑秃生发水","119.00","1","1023520","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1023520"
="1024273570883636227","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1024400195536347067","白猫清凉油10g 清凉散热 醒脑提神 止痒止痛 头痛晕车 蚊虫叮咬。","4.50","4","1038220","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1038220"
="1024367203564113212","5盒24.9元】天洋双唑泰栓7粒细菌性阴道病外阴阴道病","18.00","1","1016475*3","套餐类型：【套餐一】3盒","null","null","买家已确认，等待卖家发货","1016475*3"
="1024352995399055922","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","1","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="594245767490610398","三九999皮炎平 糠酸莫米松凝胶15g 湿疹皮肤瘙痒绿色包装","19.00","1","1038096","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1038096"
="1023625344854899988","可立平 非洛地平片 2.5mg*36片/盒 cf","15.30","5","1081208","套餐类型：标准装","null","null","卖家已发货，等待买家确认","1081208"
="1024152513772259391","可立平 非洛地平片 2.5mg*36片/盒 cf","15.30","5","1081208","套餐类型：标准装","null","null","卖家已发货，等待买家确认","1081208"
="1024303363687350170","东盛 脑力静糖浆 168ml 神经衰弱头晕目眩失眠健忘烦躁补脾益气","9.90","5","1018177","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1018177"
="1024140833912178531","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023588960499886463","医用一次性口罩三层儿童成人防护防病毒飞沫熔喷布无菌透气正品","21.90","1","1115886","颜色分类：医用口罩10只装（成人款）","null","null","卖家已发货，等待买家确认","1115886"
="1023556672548404076","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","卖家已发货，等待买家确认收货并付款","1037871*60"
="1024233283085866590","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","4","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","卖家已发货，等待买家确认收货并付款","1006473"
="1024205475606353124","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","2","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="1023505120760840833","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1024042241781239041","康缘天舒胶囊60粒治疗失眠症 神经衰弱 神经性头痛 安神通络活血","39.90","5","1010181","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1010181"
="1024056514193684356","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023493312677507360","星鲨 维生素AD软胶囊100粒 维生素A及D的缺乏症佝偻病","24.00","2","1011905*5","套餐类型：套餐二：本品5盒","null","null","买家已确认，等待卖家发货","1011905*5"
="1023488704982674328","买2送1】samly/生命力 纽徕佛蛋白质粉455g乳清中老年人增强免疫","99.00","4","1005487","null","null","null","买家已付款，等待卖家发货","1005487"
="1024023681986226625","药房直发】医用一次性外科口罩三层防护熔喷布防病毒飞沫无菌医用","129.00","1","1116154*50","颜色分类：本品1盒50只","null","null","卖家已发货，等待买家确认","1116154*50"
="1024037122596147583","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023460640512741428","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","2","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","卖家已发货，等待买家确认收货并付款","1006473"
="1024019906285897632","买2送1】samly/生命力 纽徕佛蛋白质粉455g乳清中老年人增强免疫","99.00","2","1005487","null","null","null","卖家已发货，等待买家确认","1005487"
="1024153219411239779","可伊新复方芦荟胶囊30粒 润肠通便宁心安神便秘腹胀腹痛烦躁失眠","20.00","3","1007407","套餐类型：标准装","null","null","卖家已发货，等待买家确认收货并付款","1007407"
="1024016482429897632","买2送1】samly/生命力 纽徕佛蛋白质粉455g乳清中老年人增强免疫","99.00","2","1005487","null","null","null","等待买家付款","1005487"
="594203525174373398","一正消炎镇痛膏10贴关节痛膏药贴风湿贴祛风除湿消炎镇疼膏肩周炎","18.00","1","1024699","null","null","null","卖家已发货，等待买家确认","1024699"
="1024134883485815677","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","卖家已发货，等待买家确认收货并付款","1037871*60"
="1023431072878014073","优立通非布司他片 40mg*16片/盒  cf","162.00","1","1008736*2","套餐类型：2盒装","null","null","卖家已发货，等待买家确认","1008736*2"
="1023995618328366515","龙虎人丹 30粒 开窍醒神和中止呕中暑头晕 仁丹 晕车晕船","4.50","5","1015058","套餐类型：标准装：本品1包","null","null","买家已确认，等待卖家发货","1015058"
="1023980322341840022","低至49】民生21金维他多维元素片100片补充维生素矿物质","147.00","1","1006492*3","套餐类型：优惠装：100片3盒（49元/盒）","null","null","买家已确认，等待卖家发货","1006492*3"
="1023947073640102260","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","卖家已发货，等待买家确认收货并付款","1037871*60"
="1023931553581734843","999养胃舒颗粒 10g*10袋三九胃泰绿色装 慢性胃炎胃脘灼","23.00","10","1007395","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1007395"
="1023932001150503659","特价】斯必申米诺地尔搽剂100ml男防掉发秃发脱发斑秃生发水","119.00","1","1023520","套餐类型：标准装","null","null","卖家已发货，等待买家确认收货并付款","1023520"
="1023946338865449248","东盛 脑力静糖浆 168ml 神经衰弱头晕目眩失眠健忘烦躁补脾益气","9.90","3","1018177","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1018177"
="1024074755298217459","唐王 咳喘宁0.6g*24片/盒宣通肺气止咳平喘支气管炎咳喘老年痰喘","5.90","2","1037815","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1037815"
="602874988450381602","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","2","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1024048867501934331","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="1023913890580853622","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023911010476173635","现货】新海康健脾八珍糕膏24块健脾胃成人儿童脾胃虚弱消化不良","190.00","1","1016398*5","套餐类型：优惠装【5盒】","null","null","买家已确认，等待卖家发货","1016398*5"
="1023876001926692617","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1024023651037141865","一正消炎镇痛膏10贴关节痛膏药贴风湿贴祛风除湿消炎镇疼膏肩周炎","18.00","1","1024699","null","null","null","等待买家付款","1024699"
="1023890082708818437","现货】天劲 强骨生血口服液10支滋补肝肾气血不足缺铁性贫血","68.00","2","1016825","套餐类型：1盒装","null","null","买家已确认，等待卖家发货","1016825"
="594248294101824994","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1024002755827855155","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","119.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="603058831057477004","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","卖家已发货，等待买家确认收货并付款","1037871*60"
="1023835329687680528","现货】天劲 强骨生血口服液10支滋补肝肾气血不足缺铁性贫血","650.00","1","1016825*12","套餐类型：限时特价【10盒装 实发12盒】","null","null","买家已确认，等待卖家发货","1016825*12"
="1023792597548969370","春萌双唑泰栓10枚双唑栓细菌性滴虫性阴道炎阴膨胀栓双挫锉泰栓剂","8.00","2","1088281","套餐类型：【标准装】1盒","null","null","买家已确认，等待卖家发货","1088281"
="1023221940555050962","沙利舒 盆炎清栓 100mg:25mg*10粒/盒","26.00","2","1006783","null","null","null","卖家已发货，等待买家确认","1006783"
="1023753173325812181","药房直发】正大青春宝生脉胶囊45粒益气复脉养阴生津气血两亏益气","66.00","1","1029747*3","套餐类型：套餐一：本品3盒","null","null","买家已确认，等待卖家发货","1029747*3"
="594222503085917996","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","119.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="1023024468283352744","取悦修罗斗士 女性自慰器仿真阳具女用 跳蛋棒 成人情趣用品","39.00","1","1092126","颜色分类：欲望大兵【尺寸200mm】","null","null","等待买家付款","1092126"
="1023712961508656118","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","119.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="602856364386117204","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","119.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="1023087732931125949","效期到11月】CALTRATE/钙尔奇千林R氨糖软骨素加钙片1.0g/片*92片","189.00","1","1014730","null","null","null","买家已付款，等待卖家发货","1014730"
="1023007296080371709","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","119.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","卖家已发货，等待买家确认","1005035*5"
="1023002624519485507","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023618613734862992","银桂乌洛托品溶液24ml 男女士手足多汗腋臭狐臭喷雾剂止汗剂","19.60","1","1023513","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1023513"
="1023561346324073927","限时特价】易下开塞露含甘油20ml*20支便秘老年人成人润滑通便","13.00","1","1037871*20","套餐类型：【标准装】本品1盒20支","null","null","卖家已发货，等待买家确认收货并付款","1037871*20"
="1023510805772780091","送棉签】兰美抒软膏盐酸特比萘芬乳膏10g去脚气手足癣体股藓","23.00","2","1006766+1059903","套餐类型：标准装：本品1盒+棉签50支","null","null","买家已确认，等待卖家发货","1006766+1059903"
="1023510805772780091","美克 联苯苄唑乳膏 10克","36.00","2","1023412*2","套餐类型：套餐一：本品2盒","null","null","买家已确认，等待卖家发货","1023412*2"
